,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
101,"HAZZARD 2, Bibb County, Georgia",7000000US13021000HA2,6216.0,229.0,2685.0,2902.0,161.0,192.0,47.0,0.03684041184041184,0.43194980694980695,0.46685971685971683,0.0259009009009009,0.03088803088803089,0.007561132561132561
102,"HAZZARD 3, Bibb County, Georgia",7000000US13021000HA3,10268.0,279.0,2562.0,6991.0,130.0,236.0,70.0,0.02717179587066615,0.24951305025321388,0.6808531359563693,0.012660693416439424,0.022984028048305415,0.006817296455005843
103,"HAZZARD 4, Bibb County, Georgia",7000000US13021000HA4,2776.0,78.0,1720.0,764.0,112.0,84.0,18.0,0.028097982708933718,0.6195965417867435,0.27521613832853026,0.040345821325648415,0.03025936599423631,0.006484149855907781
104,"HOWARD 1, Bibb County, Georgia",7000000US13021000HO1,5943.0,443.0,3033.0,1948.0,333.0,142.0,44.0,0.0745414773683325,0.5103483089348814,0.3277805821975433,0.05603230691569914,0.023893656402490325,0.00740366818105334
105,"HOWARD 2, Bibb County, Georgia",7000000US13021000HO2,5445.0,122.0,3639.0,1220.0,295.0,140.0,29.0,0.022405876951331498,0.6683195592286502,0.22405876951331496,0.05417814508723599,0.025711662075298437,0.005325987144168962
106,"HOWARD 3, Bibb County, Georgia",7000000US13021000HO3,12654.0,512.0,6877.0,3920.0,931.0,369.0,45.0,0.04046151414572467,0.5434645171487277,0.3097834676782045,0.07357357357357357,0.029160739687055477,0.0035561877667140826
107,"HOWARD 4, Bibb County, Georgia",7000000US13021000HO4,2466.0,85.0,1209.0,1012.0,73.0,73.0,14.0,0.03446877534468775,0.4902676399026764,0.41038118410381186,0.029602595296025953,0.029602595296025953,0.0056772100567721
108,"HOWARD 5, Bibb County, Georgia",7000000US13021000HO5,2370.0,99.0,943.0,1136.0,71.0,105.0,16.0,0.04177215189873418,0.3978902953586498,0.47932489451476795,0.029957805907172997,0.04430379746835443,0.006751054852320675
109,"HOWARD 6, Bibb County, Georgia",7000000US13021000HO6,2903.0,107.0,1749.0,855.0,75.0,107.0,10.0,0.03685842232173613,0.6024801929038925,0.29452290733723735,0.02583534274888047,0.03685842232173613,0.003444712366517396
110,"HOWARD 7, Bibb County, Georgia",7000000US13021000HO7,3239.0,93.0,2312.0,609.0,60.0,134.0,31.0,0.028712565606668725,0.7138005557270762,0.18802099413399198,0.018524235875270145,0.04137079345476999,0.009570855202222908
111,"RUTLAND 1, Bibb County, Georgia",7000000US13021000RU1,7940.0,569.0,4438.0,2448.0,245.0,184.0,56.0,0.07166246851385391,0.5589420654911839,0.30831234256926954,0.030856423173803528,0.023173803526448364,0.007052896725440806
112,"RUTLAND 2, Bibb County, Georgia",7000000US13021000RU2,4781.0,330.0,2993.0,1253.0,30.0,155.0,20.0,0.06902321690023008,0.6260196611587534,0.26207906295754024,0.006274837900020916,0.03241999581677473,0.00418322526668061
113,"VINEVILLE 1, Bibb County, Georgia",7000000US13021000VV1,5777.0,545.0,2554.0,2329.0,82.0,227.0,40.0,0.09433962264150944,0.44209797472736717,0.40315042409555135,0.014194218452483988,0.0392937510818764,0.006924009001211702
114,"VINEVILLE 2, Bibb County, Georgia",7000000US13021000VV2,2940.0,89.0,973.0,1780.0,12.0,76.0,10.0,0.030272108843537416,0.33095238095238094,0.6054421768707483,0.004081632653061225,0.02585034013605442,0.003401360544217687
